distributionId,status,date1,date2,date3,producersTotal,producersValidated,producersPending,producerValidationRatePct,productsTotalFromProducers,productsValidatedFromProducers,productValidationRatePct,offerItemsCount,offerProductsDistinct,offerProducersDistinct
WmB6JSeqrBkfr0ZqPc3Y,planned,2026-07-08,2026-07-22,2026-08-05,27,0,27,0,246,0,0,0,0,0
pFL9REFE53Vtz43PxjQl,planned,2026-09-09,2026-09-23,2026-10-07,3,0,3,0,24,0,0,0,0,0
